princess,dialogue,word_count
anna,What?,1
anna,Sandwiches!,1
anna,I've never met someone...,4
anna,And I...,2
anna,Say goodbye.,2
anna,With you!,2
anna,With you!,2
anna,Can I say something even crazier? Yes!,7
anna,"Sorry. Can we just get around you there? Thank you. Oh, there she is. Elsa! I mean, Queen.",18
anna,Me again. Um...may I present...  Prince Hans of the Southern Isles.,11
anna,Yes!,1
anna,"Well, We haven't worked out all the details ourselves. We'll need a few days to plan the ceremony. Of course, we'll have soup, roast, and ice cream. And then...  Wait. Would we live here?",34
anna,"Oh, we can invite all twelve of your brothers to stay with us.",13
anna,"Of course we have the room. I don't know, some of them must...",13
anna,"Wait, what?",2
anna,"No. Whatever you have to say, you...you can say to both of us.",13
anna,You can if it's true love!,6
anna,More than you. All you know is how to shut people out.,12
anna,"What?  Elsa, no. No, wait!",5
anna,"Elsa, please! Please! I can't live like this anymore.",9
anna,What did I ever do to you?!,7
anna,No! Why? Why do you shut me out? Why do you shut the world out? What are you so afraid of?!,21
anna,Elsa?,1
anna,"Elsa!  Elsa!  Wait, please!  Elsa, stop!",6
anna,No.,1
anna,No.,1
anna,No.,1
anna,"Wait, no!",2
anna,No. No. I'm completely ordinary.,5
anna,My-my sister's not a monster.,5
anna,"It was an accident. She was scared. She didn't mean it. She didn't mean any of this. Tonight was my fault. I pushed her, so I'm the one that needs to go after her.",34
anna,"Bring me, my horse! Please?",5
anna,Elsa's not dangerous. I'll bring her back and I'll make this right.,12
anna,No. I need you here to take care of Arendelle.,10
anna,I leave Prince Hans in charge.,6
anna,"She's my sister, she would never hurt me.",8
anna,"Elsa! Elsa! Elsa, It's me, Anna. Your sister who didn't mean to make you freeze the summer. I'm sorry. It's...it's all my f-f-fault.  Of course, none of it would have happened if she'd just told me her secret.  She's a stinker.  Oh, no. No, no, no. Come back. No, no, no, no! Oookay.   Snow, it had to be snow, She couldn't have had tropical magic that covered the fjords in white sand and warm...  Fire!  Cold, cold, cold, cold, cold, cold, cold, cold.  Wandering Oaken's Trading Post.  Ooh! And sauna.",90
anna,"Oh, great. For now, uh...how about boots? Winter boots and dresses?",11
anna,"Oh. Um...I was just wondering, has another young woman, the Queen perhaps, I don't know, passed through here?",18
anna,Huh?,1
anna,"Oh, right. Excuse me.",4
anna,North Mountain.,2
anna,"Ooh, that's a rough business to be in right now. I mean, that is really...",15
anna,Ahem...that's unfortunate.,2
anna,"Okay, just tell me one thing. What was happening on the North Mountain? Did it seem magical?",17
anna,Uh...,1
anna,Nice duet.,2
anna,I want you to take me up the North Mountain.,10
anna,Let me rephrase that...,4
anna,Take me up the North Mountain. Please.,7
anna,"Look, I know how to stop this winter.",8
anna,Oops. Sorry. Sorry. I'm sorry. I didn't...  We leave now. Right now.,12
anna,I like fast!,3
anna,"Ew! No, I was raised in a castle.",8
anna,"Oh well, it was all my fault. I...I got engaged, but then she freaked out because I'd only just met him, you know, that day. And she said she wouldn't bless the marriage, and...",34
anna,"Yeah. Anyway, I got mad and so she got mad and then she tried to walk away, and I grabbed her glove...",22
anna,"Yes. Pay attention. But the thing is she wore the gloves all the time, so I just thought, maybe she has a thing about dirt.",25
anna,"Yes, they did. But Hans is not a stranger.",9
anna,Of-the-Southern-Isles?,1
anna,Sandwiches.,1
anna,Probably John.,2
anna,Dreamy.,1
anna,Foot size doesn't matter.,4
anna,Picks his nose?,3
anna,"Excuse me, sir. He is a prince.",7
anna,"Ew! Look, it doesn't matter, it's true love!",8
anna,Are you some sort of love expert?,7
anna,You have friends who are love experts? I'm not buying it,11
anna,"No, no, no. No, no, no. I'd like to meet these...",11
anna,What are they?,3
anna,Wolves?  What do we do?,5
anna,But I wanna help!,4
anna,Why not?,2
anna,Excuse me?!,2
anna,It's true love!,3
anna,Christopher!,1
anna,Duck!,1
anna,"But I didn't.  Get ready to jump, Sven!",8
anna,Hey!,1
anna,"Grab on!  Pull, Sven! Pull!   Woh. I'll replace your sled and everything in it.  And I understand if you don't wanna help me anymore.",24
anna,"You are?! I mean, sure. I'll let you tag along.   Arendelle.",11
anna,But it'll be fine. Elsa will thaw it.,8
anna,Yeah. Now come on.  This way to the North Mountain?,10
anna,I never knew winter could be so beautiful.,8
anna,I don't want it!,4
anna,No!,1
anna,"Ew, ew, the body!",4
anna,Alright. Wait one second.,4
anna,You're welcome.,2
anna,"Well, almost.",2
anna,Oh! Too hard. I'm sorry! I was just...,8
anna,Are you okay?,3
anna,"Olaf?  That's right, Olaf!",4
anna,"Oh, um... I'm Anna.",4
anna,That's Sven.,2
anna,...Sven?,1
anna,"Olaf, did Elsa build you?",5
anna,Do you know where she is?,6
anna,Do you think you could show us the way?,9
anna,Mm-hmm.,1
anna,Don't you dare.,3
anna,I'm coming!,2
anna,"Oh, I am gonna talk to my sister.",8
anna,Yup.,1
anna,Why would I be?,4
anna,What now?,2
anna,Says who?,2
anna,I'm going to see my sister!,6
anna,You're distracting me.,3
anna,"Alright, I'm...I'm just blocking you out cause I gotta concentrate here.",11
anna,Nobody wants to be alone. Except maybe you.,8
anna,You mean the love experts?,5
anna,Please tell me I'm almost there.  Does the air seem a bit thin to you up here?,17
anna,Ha-ha. Thank goodness! Catch!  Thanks! That was like a crazy trust exercise.   Woh.,13
anna,Go ahead. I won't judge.,5
anna,"It opened. That's a first.  Oh, you should probably wait out here.",12
anna,"Last time I introduced her to a guy, she froze everything.",11
anna,"You too, Olaf.",3
anna,Just give us a minute.,5
anna,"Whoa.  Elsa? It's me, Anna.",5
anna,"Wow. Elsa, you look different. It's a good different. And this place...it's amazing.",13
anna,I'm so sorry about what happened. If I'd have known...,10
anna,But I just got here.,5
anna,So do you.,3
anna,"Actually, about that...",3
anna,He's just like the one we built as kids.,9
anna,"Elsa, we were so close. We can be like that again.",11
anna,"Elsa, wait!",2
anna,"You don't have to protect me. I'm not afraid!  Please don't shut me out again! Please don't slam the door.  You don't have to keep your distance anymore...  Cause for the first time in forever, I finally understand. For the first time in forever, we can fix this hand in hand. We can head down this mountain together! You don't have to live in fear. Cause for the first time in forever, I will be right here.",77
anna,"Yeah, but...",2
anna,"Actually, we're not.",3
anna,I get the feeling you don't know?,7
anna,"Arendelle's in deep, deep, deep, deep... snow.",7
anna,You kind of set off an eternal winter...everywhere.,8
anna,"Oh, it's okay. You can just unfreeze it.",8
anna,Sure you can. I know you can!  Cause for the first time in forever...,14
anna,You don't have to be afraid!,6
anna,We can work this out together!,6
anna,We'll reverse the storm you've made!,6
anna,Don't panic...,2
anna,We'll make the sun shine bright!!,6
anna,We can face this thing together!,6
anna,We can change this winter weather!,6
anna,And everything will be --,5
anna,All right...!!!,2
anna,I'm okay... I'm fine.,4
anna,No! I know we can figure this out together!,9
anna,"No, I'm not leaving without you, Elsa!",7
anna,Stop. Put us down!,4
anna,It is not nice to throw people!,7
anna,Let me GO!,3
anna,Okay! Alright! I'm Okay!,4
anna,I'm calm.,2
anna,I got him!,3
anna,It's a hundred foot drop.,5
anna,Ow!  What's that for?,4
anna,Okay. What if we fall?,5
anna,Okay.,1
anna,"You tell me when, I'm ready to go.",8
anna,I was born ready! Yes!,5
anna,Tree!,1
anna,Olaf!,1
anna,"Go Faster!  Wait, what?  Kristoff!",5
anna,"We won't.  Hey, you were right. Just like a pillow.  Olaf!",11
anna,Woh!,1
anna,Thank you.  How's your head?,5
anna,Now what?  Now what?! Oooh! What am I gonna do? She threw me out. I can't go back to Arendelle with the weather like this. And then there's your ice business and we...,33
anna,What? I just fell off a cliff! You should see your hair.,12
anna,White? It's...what?,2
anna,Does it look bad?,4
anna,The love experts?,3
anna,How do you know?,4
anna,A little.,2
anna,Ooh.,1
anna,They did?,2
anna,"Kristoff, they sound wonderful.",4
anna,They're rocks.,2
anna,"Uh...okay. Well, I'm gonna go.",5
anna,Kristoff!,1
anna,Trolls? They're trolls.,3
anna,What's going on?,3
anna,"Wait, wait, wait! Oh. Um...no.",5
anna,No.,1
anna,Right. We're not. I'm not...,5
anna,"Oh, no.",2
anna,That's nice. But...,3
anna,Um...,1
anna,I did not need to know that.,7
anna,"Wait, what?!",2
anna,What? No.,2
anna,An act of true love?,5
anna,Hans.,1
anna,Are you go-gonna be okay?,5
anna,"Hans, you have to kiss me.",6
anna,Now! Now!,2
anna,Elsa struck me with her powers.,6
anna,I was wrong.,3
anna,She froze my heart and only an act of true love can save me.,14
anna,...What?  You said you did.,5
anna,But...what are you talking about?,5
anna,Hans?,1
anna,"Hans. No, stop!",3
anna,Please...!,1
anna,You're no match for Elsa.,5
anna,You won't get away with this!,6
anna,"Please, somebody help!  Please! Please...",5
anna,Help.,1
anna,"Olaf? Olaf, get away from there.",6
anna,I was wrong about him. It wasn't true love.,9
anna,"Please, Olaf, you can't stay here, you'll melt.",8
anna,I don't even know what love is.,7
anna,Kristoff loves me?,3
anna,"Olaf, you're melting.",3
anna,They...they are?,2
anna,"Help me up, Olaf. Please.",5
anna,I need to get to Kristoff.,6
anna,Kristoff!,1
anna,Kristoff!,1
anna,No...!,1
anna,Kristoff.  Kristoff.,2
anna,Kristoff?,1
anna,Elsa?,1
anna,NOOOO!!!!,1
anna,"Oh, Elsa.",2
anna,I love you.,3
anna,Elsa?,1
anna,I knew you could do it.,6
anna,The only frozen heart around here is yours.,8
anna,"Come on, come on, come on. Come on, come on, come on. Come on...",14
anna,Oops. Sorry.  Okay. Okay. Here we are.  I owe you a sled.,12
anna,Yes! And it's the latest model.,6
anna,You have to! No returns. No exchanges. Queen's orders. She's named you the official Arendelle Ice Master and Deliverer.,19
anna,"Oh, sure it is. And it even has a cup holder. Do you like it?",15
anna,We may.,2
anna,I like the open gates.,5
anna,"Oh, Elsa, they're beautiful, but you know I don't skate...",10
anna,I got it. I got it.  Ooh! I don't got it! I don't got it!,15
ariel,"Flounder, hurry up!",3
ariel,There it is. Isn't it fantastic?,6
ariel,"You're not getting cold fins now, are you?",8
ariel,All right. I'm going inside. You can just stay here and - watch for sharks.,15
ariel,"Oh, Flounder.",2
ariel,"Flounder, don't be such a guppy.",6
ariel,"Oh, are you okay?",4
ariel,Shhh...  Oh my gosh! Oh my gosh!  Have you ever seen anything so wonderful in your entire life?,18
ariel,I don't know. But I bet Scuttle will.,8
ariel,"Hmm, I wonder what this one is?",7
ariel,"Flounder, will you relax. Nothing is going to happen.",9
ariel,"Flounder, you really are a guppy.",6
ariel,Scuttle!,1
ariel,Scuttle - look what we found.,6
ariel,What? What is it?,4
ariel,A dinglehopper!,2
ariel,Music?,1
ariel,"Oh, the concert! Oh my gosh, my father's going to kill me!",12
ariel,"Uh, I'm sorry, I've gotta go. Thank you, Scuttle.",9
ariel,"Daddy, I'm sorry, I just forgot, I -",8
ariel,Nothing - happened...,3
ariel,"Daddy, they're not barbarians!",4
ariel,I'm sixteen years old - I'm not a child anymore -,11
ariel,Well-,1
ariel,If- But if you would just listen -,8
ariel,If only I could make him understand.,7
ariel,I just don't see things the way he does. I just don't see how a world that makes such wonderful things - could be b,25
ariel,Look at this stuff,4
ariel,Sebastian!?,1
ariel,"It's... uh, it's just my - collection.",7
ariel,"Oh, please, Sebastian, he would never understand.",7
ariel,What do you suppose?,4
ariel,"Scuttle, be quiet! They'll hear you!",6
ariel,I've never seen a human this close before.,8
ariel,"Oh - he's very handsome, isn't he?",7
ariel,Not that one - the one playing the snarfblat.,9
ariel,Is he - dead?,4
ariel,"No, look! He's breathing.  He's so beautiful.",7
ariel,What would I give,4
ariel,I don't know when,4
ariel,"Morning, Daddy.",2
ariel,"He loves me... hmmm, he loves me not... He loves me! I knew it!",14
ariel,I gotta see him again - tonight! Scuttle knows where he lives.,12
ariel,"I'll swim up to his castle. Then Flounder will splash around to get his attention, and then with -",19
ariel,"Flounder, why can't you just tell me what this is all about?",12
ariel,"Oh, Flounder- Flounder you're the best! It looks just like him. It even has his eyes.  Why, Eric, run away with you? This is all so - so sudden...",29
ariel,Daddy!,1
ariel,"But, Daddy!",2
ariel,"Daddy, I had -",4
ariel,He would have died!,4
ariel,You don't even know him!,5
ariel,"Daddy, I love him!",4
ariel,I don't care.,3
ariel,"Daddy!... No,no... please- Daddy, stop! Daddy, No!",7
ariel,Just go away.,3
ariel,Who - who are you?,5
ariel,I don't understand.,3
ariel,"The sea witch?  Why, that's - I couldn't possibly - no! Get out of here! Leave me alone!",18
ariel,Wait.,1
ariel,I'm going to see Ursula.,5
ariel,Why don't you go tell my father? You're good at that.,11
ariel,Can you do that?,4
ariel,"If I become human, I'll never be with my father or sisters again.",13
ariel,But I don't have any -,6
ariel,My voice?,2
ariel,"But without my voice, how can I -",8
ariel,Eric.,1
ariel,"Oh, Eric, I - I wanted to tell you.",9
ariel,"Daddy, I'm sorry! I - I - I didn't mean to. I didn't know -",15
ariel,"No... Oh, no!",3
ariel,Daddy?,1
ariel,No.,1
ariel,You - You monster!,4
ariel,Eric! Eric look out!,4
ariel,"Eric, you've got to get away from here.",8
ariel,Eric!,1
ariel,Eric.,1
ariel,"I love you, Daddy.",4
belle,"Good morning, Monsieur.",3
belle,"The bookshop! I just finished the most wonderful story, about a beanstalk and an ogre and-",16
belle,Good morning. I've come to return the book I borrowed.,10
belle,"Oh, I couldn't put it down. Have you got anything new?",11
belle,That's alright. I'll borrow this one.,6
belle,"Well, it's my favorite! Far off places, daring swordfights, magic spells, a prince in disguise!",15
belle,But sir!,2
belle,"Well, thank you. Thank you very much!",7
belle,"Bonjour, Gaston.  Gaston, may I have my book, please?",9
belle,"Well, some people use their imaginations.",6
belle,"Gaston, you are positively primeval.",5
belle,Maybe some other time.,4
belle,"Please, Gaston. I can't. I have to get home and help my father. Goodbye.",14
belle,Don't you talk about my father that way!,8
belle,My father's not crazy! He's a genius!,7
belle,Papa?,1
belle,"Are you all right, Papa?",5
belle,You always say that.,4
belle,"Yes, you will. And you'll win first prize at the fair tomorrow",12
belle,...and become a world famous inventor!,6
belle,I always have.,3
belle,"I got a new book. Papa, do you think I'm odd?",11
belle,"Oh, I don't know. It's just I'm not sure I fit in here. There's no one I can really talk to.",21
belle,"He's handsome all right, and rude and conceited and...Oh Papa, he's not for me!",14
belle,It works!,2
belle,You did it! You really did it!,7
belle,"Good bye, Papa! Good luck!",5
belle,"Gaston, what a pleasant...surprise.",4
belle,"What do you know about my dreams, Gaston?",8
belle,Dogs?,1
belle,Imagine that.,2
belle,Let me think.,3
belle,"Gaston, I'm speechless. I really don't know what to say.",10
belle,"I'm very sorry, Gaston, but I just don't deserve you.",10
belle,"Is he gone? Can you imagine, he asked me to marry him. Me, the wife of that boorish, brainless...",19
belle,"Phillipe! What are you doing here? Where's Papa? Where is he, Phillipe? What happened? Oh, we have to find him, you have to take me to him!",27
belle,What is this place?,4
belle,"Phillipe, please, steady.  Papa.",4
belle,"Hello? Is anyone here? Hello? Papa? Papa, are you here?",10
belle,Papa?,1
belle,Papa? Papa?  Hello? Is someone here? Wait! I'm looking for my father!,12
belle,"That's funny, I'm sure there was someone... I-I-Is there anyone here?",11
belle,"Oh, Papa!",2
belle,"Oh, your hands are like ice. We have to get you out of here.",14
belle,Who's done this to you?,5
belle,I won't leave you!,4
belle,Who's there? Who are you?,5
belle,I've come for my father. Please let him out! Can't you see he's sick?,14
belle,"But he could die. Please, I'll do anything!",8
belle,"Oh, there must be some way I can...wait! Take me, instead!",11
belle,"If I did, would you let him go?",8
belle,Come into the light.,4
belle,You have my word.,4
belle,Wait!,1
belle,Wait!,1
belle,You didn't even let me say good bye. I'll never see him again. I didn't get to say good-bye.,19
belle,My room?  But I thought--,5
belle,No.,1
belle,What's in the West Wing?,5
belle,Who is it?,3
belle,But you...ah...but...I--,2
belle,This is impossible--,3
belle,Thank you.,2
belle,"But I've lost my father, my dreams, everything.",8
belle,"That's very kind of you, but I'm not going to dinner.",11
belle,I'm not hungry.,3
belle,No!,1
belle,"No, thank you.",3
belle,Yes I can!,3
belle,I don't want to get to know him. I don't want to have anything to do with him!,18
belle,I am a little hungry.,5
belle,Bravo! That was wonderful!,4
belle,"Oh, I couldn't possibly go to bed now. It's my first time in an enchanted castle.",16
belle,"I, um, figured it out for myself.",7
belle,"I'd like to look around, if that's all right.",9
belle,) Perhaps you could take me. I'm sure you know everything there is to know about the castle.,18
belle,What's up there?,3
belle,"Oh, so that's the West Wing.",6
belle,I wonder what he's hiding up there.,7
belle,Then it wouldn't be forbidden.,5
belle,Maybe later.,2
belle,You have a library?,4
belle,"I'm sorry,",2
belle,I didn't mean any harm.,5
belle,"Please, stop! No!",3
belle,"Promise or no promise, I can't stay here another minute!",10
belle,No!,1
belle,"Here, now. Oh, don't do that.",6
belle,Just...hold still.,2
belle,"If you'd hold still, it wouldn't hurt as much!",9
belle,"If you hadn't frightened me, I wouldn't have run away!",10
belle,"Well, you should learn to control your temper!",8
belle,"Now, hold still. This may sting a little.",8
belle,"By the way, thank you, for saving my life.",9
belle,Can I open them?,4
belle,Now can I open them?,5
belle,I can't believe it. I've never seen so many books in all my life!,14
belle,It's wonderful.,2
belle,"""...For there never was a story of more woe than this of Juliet and her Romeo.""",16
belle,"Well, here. Why don't you read it to me?",9
belle,You mean you never learned?,5
belle,"Well here, I'll help you. Let's start...here.",7
belle,Two.,1
belle,Yes.,1
belle,"If only I could see my father again, just for a moment. I miss him so much.",17
belle,"I'd like to see my father, please.",7
belle,"Papa. Oh, no. He's sick, he may be dying. And he's all alone.",13
belle,What did you say?,4
belle,You mean...I'm free?,3
belle,"Oh, thank you.  Hold on, Papa. I'm on my way.",10
belle,Thank you for understanding how much he needs me.,9
belle,"It's all right, Papa. I'm home.",6
belle,I missed you so much.,5
belle,"I didn't escape, Papa. He let me go.",8
belle,"But he's different, now. He's changed somehow.",7
belle,"Oh, a stowaway.",3
belle,"Oh, Chip. Of course I do. It's just that--",9
belle,May I help you?,4
belle,My father?,2
belle,My father's not crazy.,4
belle,"No, I won't let you.",5
belle,"No, you can't do this!",5
belle,"You know he's not crazy, Gaston.",6
belle,If what?,2
belle,What?,1
belle,Never!,1
belle,My father's not crazy and I can prove it!  Show me the Beast!,13
belle,"Oh, no. He'd never hurt anyone. Please, I know he looks vicious, but he's really kind and gentle. He's my friend.",21
belle,"He's no monster, Gaston. You are!",6
belle,No!,1
belle,"No, I won't let you do this.",7
belle,Let us out!,3
belle,"I have to warn the Beast. This is all my fault. Oh, Papa. What are we going to do?",19
belle,No!,1
belle,"Gaston, don't!",2
belle,"Let's go, Phillipe!",3
belle,Beast!,1
belle,"Of course I came back. I couldn't let them...Oh, this is all my fault. If only I'd gotten here sooner.",20
belle,Don't talk like that. You'll be all right. We're together now. Everything's going to be fine. You'll see.,18
belle,"No, no! Please! Please! Please don't leave me! I love you!",11
belle,It is you!,3
belle,"Good morning, Monsieur.",3
belle,"The bookshop! I just finished the most wonderful story, about a beanstalk and an ogre and-",16
belle,Good morning. I've come to return the book I borrowed.,10
belle,"Oh, I couldn't put it down. Have you got anything new?",11
belle,That's alright. I'll borrow this one.,6
belle,"Well, it's my favorite! Far off places, daring swordfights, magic spells, a prince in disguise!",15
belle,But sir!,2
belle,"Well, thank you. Thank you very much!",7
belle,"Bonjour, Gaston.  Gaston, may I have my book, please?",9
belle,"Well, some people use their imaginations.",6
belle,"Gaston, you are positively primeval.",5
belle,Maybe some other time.,4
belle,"Please, Gaston. I can't. I have to get home and help my father. Goodbye.",14
belle,Don't you talk about my father that way!,8
belle,My father's not crazy! He's a genius!,7
belle,Papa?,1
belle,"Are you all right, Papa?",5
belle,You always say that.,4
belle,"Yes, you will. And you'll win first prize at the fair tomorrow",12
belle,...and become a world famous inventor!,6
belle,I always have.,3
belle,"I got a new book. Papa, do you think I'm odd?",11
belle,"Oh, I don't know. It's just I'm not sure I fit in here. There's no one I can really talk to.",21
belle,"He's handsome all right, and rude and conceited and...Oh Papa, he's not for me!",14
belle,It works!,2
belle,You did it! You really did it!,7
belle,"Good bye, Papa! Good luck!",5
belle,"Gaston, what a pleasant...surprise.",4
belle,"What do you know about my dreams, Gaston?",8
belle,Dogs?,1
belle,Imagine that.,2
belle,Let me think.,3
belle,"Gaston, I'm speechless. I really don't know what to say.",10
belle,"I'm very sorry, Gaston, but I just don't deserve you.",10
belle,"Is he gone? Can you imagine, he asked me to marry him. Me, the wife of that boorish, brainless...",19
belle,"Phillipe! What are you doing here? Where's Papa? Where is he, Phillipe? What happened? Oh, we have to find him, you have to take me to him!",27
belle,What is this place?,4
belle,"Phillipe, please, steady.  Papa.",4
belle,"Hello? Is anyone here? Hello? Papa? Papa, are you here?",10
belle,Papa?,1
belle,Papa? Papa?  Hello? Is someone here? Wait! I'm looking for my father!,12
belle,"That's funny, I'm sure there was someone... I-I-Is there anyone here?",11
belle,"Oh, Papa!",2
belle,"Oh, your hands are like ice. We have to get you out of here.",14
belle,Who's done this to you?,5
belle,I won't leave you!,4
belle,Who's there? Who are you?,5
belle,I've come for my father. Please let him out! Can't you see he's sick?,14
belle,"But he could die. Please, I'll do anything!",8
belle,"Oh, there must be some way I can...wait! Take me, instead!",11
belle,"If I did, would you let him go?",8
belle,Come into the light.,4
belle,You have my word.,4
belle,Wait!,1
belle,Wait!,1
belle,You didn't even let me say good bye. I'll never see him again. I didn't get to say good-bye.,19
belle,My room?  But I thought--,5
belle,No.,1
belle,What's in the West Wing?,5
belle,Who is it?,3
belle,But you...ah...but...I--,2
belle,This is impossible--,3
belle,Thank you.,2
belle,"But I've lost my father, my dreams, everything.",8
belle,"That's very kind of you, but I'm not going to dinner.",11
belle,I'm not hungry.,3
belle,No!,1
belle,"No, thank you.",3
belle,Yes I can!,3
belle,I don't want to get to know him. I don't want to have anything to do with him!,18
belle,I am a little hungry.,5
belle,Bravo! That was wonderful!,4
belle,"Oh, I couldn't possibly go to bed now. It's my first time in an enchanted castle.",16
belle,"I, um, figured it out for myself.",7
belle,"I'd like to look around, if that's all right.",9
belle,) Perhaps you could take me. I'm sure you know everything there is to know about the castle.,18
belle,What's up there?,3
belle,"Oh, so that's the West Wing.",6
belle,I wonder what he's hiding up there.,7
belle,Then it wouldn't be forbidden.,5
belle,Maybe later.,2
belle,You have a library?,4
belle,"I'm sorry,",2
belle,I didn't mean any harm.,5
belle,"Please, stop! No!",3
belle,"Promise or no promise, I can't stay here another minute!",10
belle,"Here now. Oh, don't do that.  Just...hold still.",8
belle,"If you'd hold still, it wouldn't hurt as much.",9
belle,"Well if you hadn't frightened me, I wouldn't have run away!",11
belle,Well you should learn to control your temper!,8
belle,"Now, hold still. This may sting a little.",8
belle,"By the way, thank you, for saving my life.",9
belle,Can I open them?,4
belle,Now can I open them?,5
belle,I can't believe it. I've never seen so many books in all my life!,14
belle,It's wonderful.,2
belle,Yes.,1
belle,"If only I could see my father again, just for a moment. I miss him so much.",17
belle,"I'd like to see my father, please.",7
belle,"Papa. Oh, no. He's sick, he may be dying. And he's all alone.",13
belle,What did you say?,4
belle,You mean...I'm free?,3
belle,"Oh, thank you.  Hold on, Papa. I'm on my way.",10
belle,Thank you for understanding how much he needs me.,9
belle,"It's all right, Papa. I'm home.",6
belle,I missed you so much.,5
belle,"I didn't escape, Papa. He let me go.",8
belle,"But he's different, now. He's changed somehow.",7
belle,"Oh, a stowaway.",3
belle,"Oh, Chip. Of course I do. It's just that--",9
belle,May I help you?,4
belle,My father?,2
belle,My father's not crazy.,4
belle,"No, I won't let you.",5
belle,"No, you can't do this!",5
belle,"You know he's not crazy, Gaston.",6
belle,If what?,2
belle,What?,1
belle,Never!,1
belle,My father's not crazy and I can prove it!  Show me the Beast!,13
belle,"Oh, no. He'd never hurt anyone. Please, I know he looks vicious, but he's really kind and gentle. He's my friend.",21
belle,"He's no monster, Gaston. You are!",6
belle,No!,1
belle,"No, I won't let you do this.",7
belle,Let us out!,3
belle,"I have to warn the Beast. This is all my fault. Oh, Papa. What are we going to do?",19
belle,No!,1
belle,"Gaston, don't!",2
belle,"Let's go, Phillipe!",3
belle,Beast!,1
belle,"Of course I came back. I couldn't let them...Oh, this is all my fault. If only I'd gotten here sooner.",20
belle,Don't talk like that. You'll be all right. We're together now. Everything's going to be fine. You'll see.,18
belle,"No, no! Please! Please! Please don't leave me! I love you!",11
belle,It is you!,3
cinderella,"Oh, that does make a difference. He'll need a jacket, shoes...",11
cinderella,"Where? In a trap? Well, why didn't you say so?",10
cinderella,"Now, now, now, calm down, everybody.",6
cinderella,"Oh...the poor little fella's frightened to death. Jaq, perhaps you'd better explain facts to him.",15
cinderella,"Well, that's better.  Well, let's just slip it on for size.  It is a little snug, but it'll have to do.  Now, for a name. I have one...Octavius. But for short, we'll call you Gus.",35
cinderella,"Now I have to hurry. See that he keeps out of danger, Jaq. And don't forget to warn him about the cat!",22
cinderella,"Here kitty, kitty, kitty, kitty.  Come, kitty. C'mon.  Lucifer! Come here!  I'm sorry if Your Highness objects to an early breakfast.  It's certainly not my idea to feed you first. It's orders. C'mon.",33
cinderella,"Bruno... Bruno!  Dreaming again. Chasing Lucifer?  Catch him this time?  That's bad.  Suppose they heard you upstairs? You know the orders. Then if you don't want to lose a nice warm bed, you'd better get rid of those dreams. Know how?  Just learn to like cats.  No, I mean it. Lucifer has his good points as well. For one fact, he... Well... sometimes he... Huh... There must be something good about him.  Bruno! Oh, Bruno. C'mon now, outside.  I know it isn't easy, but at least we should try to get along together.  And that includes you, Your Majesty!  Breakfast time! Everybody up! Hurry up, hurry up! C'mon, everybody. Breakfast, breakfast!",111
cinderella,"Oh, there you are. I was wondering. Alright, breakfast is served.",11
cinderella,"Stop that. Shoo, shoo, shoo. Go ahead! Shoo, shoo, shoo!  Poor little Gus.  Here. Help yourself.",16
